source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	review_reason	notes
Б.А. Кушнера	B.A. Kushnera	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.В. Осинского	V.V. Osinskogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Г. Дорошина	V.G. Doroshina	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Д. Миронова	V.D. Mironova	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Е. Евдокимовым	G.E. Evdokimovym	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Л. Хасина	G.L. Khasina	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.Л. Игнатюка	D.L. Ignatyuka	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.Ю. Раевской	E.Yu. Raevskoi	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
З.А. Ашрафяна	Z.A. Ashrafyana	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
З.М. Беленького	Z.M. Belenkogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.А. Князева	I.A. Knyazeva	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.И. Горовича	I.I. Gorovicha	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.И. Трусова	I.I. Trusova	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Т. Смилги	I.T. Smilgi	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Ф. Касперского	I.F. Kasperskogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.Е. Ворошилова	K.E. Voroshilova	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.В. Николаевым	L.V. Nikolaevym	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.И. Сосицкого	L.I. Sositskogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.П. Томского	M.P. Tomskogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.С. Богуславского	M.S. Boguslavskogo	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.С. Строилова	M.S. Stroilova	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.А. Карева	N.A. Kareva	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Р.В. Пикеля	R.V. Pikelya	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Р.М. Кулишера	R.M. Kulishera	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
С.Х. Варданиана	S.Kh. Vardaniana	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Э.С. Гольцмана	E.S. Goltsmana	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Я.А. Лившица	Ya.A. Livshitsa	people	person_name	low	4	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Андрееву	A.A. Andreevu	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Докучаева	A.A. Dokuchaeva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Е. Авдеевой	A.E. Avdeevoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Е. Кожуро	A.E. Kozhuro	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Биркенгофа	A.I. Birkengofa	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Кармалитова	A.I. Karmalitova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Коновой	A.I. Konovoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Синелобова	A.I. Sinelobova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.К. Середохина	A.K. Seredokhina	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.М. Лариной	A.M. Larinoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Х. Кантора	A.Kh. Kantora	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Я. Свердлова	A.Ya. Sverdlova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Б.Г. Козелева	B.G. Kozeleva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Б.И. Кузьмичева	B.I. Kuzmicheva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Б.М. Нижника	B.M. Nizhnika	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Б.М. Оберталлера	B.M. Obertallera	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.А. Тер-Ваганян	V.A. Ter-Vaganyan	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.В. Румянцевым	V.V. Rumyantsevym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Г. Белова	V.G. Belova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Г. Яковенко	V.G. Yakovenko	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Д. Каспаровой	V.D. Kasparovoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.П. Потемкина	V.P. Potemkina	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Е. Горбачева	G.E. Gorbacheva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.И. Сафаровым	G.I. Safarovym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.К. Орджоникидзе	G.K. Ordzhonikidze	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.М. Артеменко	G.M. Artemenko	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Ф. Овчинникова	G.F. Ovchinnikova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.П. Марецкого	D.P. Maretskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.А. Петровой	E.A. Petrovoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.К. Коршунова	E.K. Korshunova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
З.И. Пелевиной	Z.I. Pelevinoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Д. Турока	I.D. Turoka	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.И. Бурлакова	I.I. Burlakova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.И. Котолыновым	I.I. Kotolynovym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.К. Федотова	I.K. Fedotova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Н. Маевского	I.N. Maevskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.П. Бакаевым	I.P. Bakaevym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.И. Синелобовой	K.I. Sinelobovoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.Н. Лукницкого	K.N. Luknitskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.А. Лаврентьева	L.A. Lavrenteva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Г. Лелевича	L.G. Lelevicha	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.И. Гасвиани	L.I. Gasviani	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.М. Марьясина	L.M. Maryasina	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.О. Ханика	L.O. Khanika	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.П. Серебрякова	L.P. Serebryakova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.П. Серебряковым	L.P. Serebryakovym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.В. Бурштейном	M.V. Burshteinom	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.И. Лурье	M.I. Lure	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.Л. Быховского	M.L. Bykhovskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.О. Зюка	M.O. Zyuka	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.П. Жакова	M.P. Zhakova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.С. Окуджавы	M.S. Okudzhavy	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.И. Гордона	N.I. Gordona	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.И. Москалева	N.I. Moskaleva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.М. Лукина-Бухарина	N.M. Lukina-Bukharina	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.Н. Крестинского	N.N. Krestinskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.Н. Шатским	N.N. Shatskim	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.П. Глебов-Авилов	N.P. Glebov-Avilov	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.П. Михетко	N.P. Mikhetko	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.П. Мясниковым	N.P. Myasnikovym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Н.С. Антоновым	N.S. Antonovym	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
П.А. Залуцкого	P.A. Zalutskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
П.И. Гордеевой	P.I. Gordeevoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
П.Ф. Зайцева	P.F. Zaitseva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
П.Ф. Сапожникова	P.F. Sapozhnikova	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
П.Э. Роцкана	P.E. Rotskana	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
С.И. Лукашика	S.I. Lukashika	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
С.Я. Шаева	S.Ya. Shaeva	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Ф.А. Горбуновой	F.A. Gorbunovoi	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Х.Г. Гуревича	Kh.G. Gurevicha	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Х.Г. Раковского	Kh.G. Rakovskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Ю.М. Коцюбинского	Yu.M. Kotsyubinskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Я.Н. Вечерковского	Ya.N. Vecherkovskogo	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Я.Н. Дробниса	Ya.N. Drobnisa	people	person_name	low	3	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Бусыгина	A.A. Busygina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Лаврентьева	A.A. Lavrenteva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Муштакова	A.A. Mushtakova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.А. Хвыли	A.A. Khvyli	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.В. Галкина	A.V. Galkina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.В. Луговой-Левенштейн	A.V. Lugovoi-Levenshtein	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.В. Румянцева	A.V. Rumyantseva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Д. Арефьева	A.D. Arefeva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.Д. Зайцева	A.D. Zaitseva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Потяева	A.I. Potyaeva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Стецкого	A.I. Stetskogo	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.И. Юлина	A.I. Yulina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.М. Горькому	A.M. Gorkomu	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.М. Гусева	A.M. Guseva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.М. Зорина	A.M. Zorina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.М. Штейна	A.M. Shteina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.П. Загорулько	A.P. Zagorulko	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.С. Куклиным	A.S. Kuklinym	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
А.С. Соколова	A.S. Sokolova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Б.И. Лехтмана	B.I. Lekhtmana	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Б.М. Таля	B.M. Talya	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.А. Ельчаниновой	V.A. Elchaninovoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.А. Закамалдина	V.A. Zakamaldina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.А. Котова	V.A. Kotova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.В. Досекина	V.V. Dosekina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.В. Папкова	V.V. Papkova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Д. Вуйовича	V.D. Vuiovicha	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.И. Звездовым	V.I. Zvezdovym	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.И. Невского	V.I. Nevskogo	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.И. Пучкова	V.I. Puchkova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.И. Шипихина	V.I. Shipikhina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.М. Андреева	V.M. Andreeva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.М. Примакова	V.M. Primakova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.М. Рохинсона	V.M. Rokhinsona	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Н. Голованова	V.N. Golovanova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Н. Ракова	V.N. Rakova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Н. Цатурова-Большакова	V.N. Tsaturova-Bolshakova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Н. Яковлевой	V.N. Yakovlevoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
В.Ф. Головина	V.F. Golovina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.А. Колоскова	G.A. Koloskova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.В. Соколовым	G.V. Sokolovym	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Е. Пушина	G.E. Pushina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.И. Шварца	G.I. Shvartsa	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Л. Шкловского	G.L. Shklovskogo	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.П. Поташникова	G.P. Potashnikova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.С. Фридлянда	G.S. Fridlyanda	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Г.Я. Маренко	G.Ya. Marenko	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Гавен	Gaven	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.А. Карцева	D.A. Kartseva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.З. Мануильскому	D.Z. Manuilskomu	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.И. Антипаса	D.I. Antipasa	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.И. Матвеева	D.I. Matveeva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.П. Бухарцева	D.P. Bukhartseva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.С. Азбеля	D.S. Azbelya	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Д.Т. Шермергорна	D.T. Shermergorna	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.А. Афанасьева	E.A. Afanaseva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.В. Рогачевой	E.V. Rogachevoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.Д. Соколовой	E.D. Sokolovoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.И. Майзлиной	E.I. Maizlinoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.М. Манюрин-Броварский	E.M. Manyurin-Brovarskii	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.М. Рыбальченко	E.M. Rybalchenko	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.Н. Васильева	E.N. Vasileva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.О. Симак	E.O. Simak	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.Р. Майера	E.R. Maiera	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Е.С. Мишаковой	E.S. Mishakovoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
З.В. Флоровой	Z.V. Florovoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
З.Д. Ханик	Z.D. Khanik	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.А. Козина	I.A. Kozina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Д. Гаврикова	I.D. Gavrikova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Е. Коваленко	I.E. Kovalenko	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Е. Павлова	I.E. Pavlova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.И. Тарасовым	I.I. Tarasovym	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.М. Бык-Бек	I.M. Byk-Bek	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Н. Стукова	I.N. Stukova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.О. Гольденберга	I.O. Goldenberga	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.П. Крыженко	I.P. Kryzhenko	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.С. Михайлова	I.S. Mikhailova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.С. Эстермана	I.S. Estermana	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
И.Т. Ляшенко	I.T. Lyashenko	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.А. Озола	K.A. Ozola	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.Б. Берман-Юрин	K.B. Berman-Yurin	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.И. Гидлевского	K.I. Gidlevskogo	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.И. Грюнштейна	K.I. Gryunshteina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.Н. Емельянова	K.N. Emelyanova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.С. Дорофеева	K.S. Dorofeeva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
К.С. Модебадзе	K.S. Modebadze	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.А. Чернозубовой	L.A. Chernozubovoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.А. Шацкина	L.A. Shatskina	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.В. Когану	L.V. Koganu	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Д. Гогоберидзе	L.D. Gogoberidze	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Е. Бурковой	L.E. Burkovoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Е. Тамма	L.E. Tamma	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Е. Хосроева	L.E. Khosroeva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.И. Перельштейн	L.I. Perelshtein	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.И. Пономарева	L.I. Ponomareva	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.И. Сосицким	L.I. Sositskim	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Н. Минервиной	L.N. Minervinoi	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.П. Берии	L.P. Berii	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.С. Ассиновского	L.S. Assinovskogo	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.С. Мамишвили-Мишкевич	L.S. Mamishvili-Mishkevich	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.С. Тер-Минасов	L.S. Ter-Minasov	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
Л.Х. Розенблюма	L.Kh. Rozenblyuma	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
М.А. Жарикова	M.A. Zharikova	people	person_name	low	2	auto_transliterated_needs_review	low		automatic transliteration seed; human review recommended before production glossary
