source_ru	canonical_en	layer	glossary_kind	priority	source_count	status	confidence	historical_person_tier	review_reason	g3_action	g3_review_priority	g3_review_reason	g4_action	g4_confidence	g4_review_priority	g4_review_reason	person_document_count	person_organization_count	alias_count	process_distribution	notes
telegram	telegram	document_types	internal_document_type	low	15	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
summary	summary	document_types	internal_document_type	low	7	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
reference_note	reference note	document_types	internal_document_type	low	6	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
indictment	indictment	document_types	internal_document_type	low	5	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
draft_project	draft project	document_types	internal_document_type	low	4	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
explanation	explanation	document_types	internal_document_type	low	4	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
press_summary	press summary	document_types	internal_document_type	low	4	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
В.В. Осинского	Valerian Osinsky	people	person_name	low	4	approved	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	5	1	КРЕМЛЕВСКОЕ ДЕЛО:4	G4 historical/person canonicalization
З.М. Беленького	Z.M. Belenky	people	person_name	low	4	approved	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	5	1	КРЕМЛЕВСКОЕ ДЕЛО:4	G4 historical/person canonicalization
И.Т. Смилги	Ivar Smilga	people	person_name	low	4	approved	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	5	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G4 historical/person canonicalization
Л.И. Сосицкого	L.I. Sositsky	people	person_name	low	4	approved	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	4	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:4	G4 historical/person canonicalization
М.П. Томского	Mikhail Tomsky	people	person_name	low	4	approved	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	5	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	G4 historical/person canonicalization
М.С. Богуславского	M.S. Boguslavsky	people	person_name	low	4	approved	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	7	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	G4 historical/person canonicalization
Э.С. Гольцмана	Eduard Holtzman	people	person_name	low	4	approved	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	5	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	G4 historical/person canonicalization
Я.А. Лившица	Ya.A. Livshits	people	person_name	low	4	approved	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			4	7	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	G4 historical/person canonicalization
decree_resolution	decree resolution	document_types	internal_document_type	low	3	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
plan_instruction	plan instruction	document_types	internal_document_type	low	3	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
verdict_or_sentence	verdict or sentence	document_types	internal_document_type	low	3	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
Н.П. Глебов-Авилов	N.P. Glebov-Avilov	people	person_name	low	3	approved	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			3	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	G4 historical/person canonicalization
П.А. Залуцкого	P.A. Zalutsky	people	person_name	low	3	approved	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	approved_by_g4_historical_person_map	medium			3	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	G4 historical/person canonicalization
article	article	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
biographical_article	biographical article	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
correspondence	correspondence	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
data_extract	data extract	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
plea_pardon	plea pardon	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
questionnaire_response	questionnaire response	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
speech	speech	document_types	internal_document_type	low	2	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
autobiography	autobiography	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
brochure	brochure	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
interrogation_extract	interrogation extract	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
medical_act	medical act	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
poem	poem	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
program	program	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
search_protocol	search protocol	document_types	internal_document_type	low	1	approved	medium	not_person													internal UI/reporting label; not necessarily Google glossary entry
А.М. Аркус	A.M. Arkus	people	person_name	low	1	approved	medium	tier4_auto_ok					approved_by_g4_historical_person_map	medium			1	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	G4 historical/person canonicalization
А.А. Мусатова	A.A. Musatov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	7	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	automatic transliteration seed; human review recommended before production glossary
А.А. Трояновского	A.A. Troyanovsky	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization					low	multiple_aliases_unresolved	4	2	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	automatic transliteration seed; human review recommended before production glossary
А.В. Герцберга	A.V. Gertsberg	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup		low	multiple_aliases_unresolved	4	4	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	automatic transliteration seed; human review recommended before production glossary
А.Г. Колодина	A.G. Kolodin	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	6	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	automatic transliteration seed; human review recommended before production glossary
А.И. Александрова	A.I. Aleksandrov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							4	2	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	automatic transliteration seed; human review recommended before production glossary
А.И. Биркенгофа	A.I. Birkengof	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup		low	multiple_aliases_unresolved	4	5	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
Б.А. Кушнера	B.A. Kushner	people	person_name	low	4	auto_normalized_needs_review	medium	tier3_high_org_context			low	person_multiple_org_contexts_not_approved	romanization_cleanup		low	case_form_with_high_org_context	4	10	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	automatic transliteration seed; human review recommended before production glossary
В.В. Шмидта	V.V. Schmidt	people	person_name	low	4	auto_normalized_needs_review	medium	tier3_high_org_context			low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	4	8	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:4	auto transliteration adjusted by common historical romanization rules
В.Г. Дорошина	V.G. Doroshin	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	5	1	КРЕМЛЕВСКОЕ ДЕЛО:4	automatic transliteration seed; human review recommended before production glossary
В.Д. Миронова	V.D. Mironov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	6	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	automatic transliteration seed; human review recommended before production glossary
Г.Л. Хасина	G.L. Khasin	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	automatic transliteration seed; human review recommended before production glossary
Е.К. Коршунова	E.K. Korshunov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	6	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	automatic transliteration seed; human review recommended before production glossary
И.А. Князева	I.A. Knyazev	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	automatic transliteration seed; human review recommended before production glossary
И.И. Горовича	I.I. Gorovich	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	5	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	automatic transliteration seed; human review recommended before production glossary
И.И. Трусова	I.I. Trusov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	automatic transliteration seed; human review recommended before production glossary
И.Ф. Касперского	I.F. Kaspersky	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							4	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	automatic transliteration seed; human review recommended before production glossary
К.Е. Ворошилова	K.E. Voroshilov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	6	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	automatic transliteration seed; human review recommended before production glossary
М.С. Строилова	M.S. Stroilov	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					4	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	automatic transliteration seed; human review recommended before production glossary
Н.А. Карева	N.A. Karev	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	4	7	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Р.В. Пикеля	R.V. Pikel	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup				4	7	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	automatic transliteration seed; human review recommended before production glossary
Р.М. Кулишера	R.M. Kulisher	people	person_name	low	4	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup				4	5	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:4	automatic transliteration seed; human review recommended before production glossary
А.А. Андрееву	A.A. Andreev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup				3	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
А.А. Докучаева	A.A. Dokuchaev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	3	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
А.Е. Авдеевой	A.E. Avdeeva	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	3	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
А.И. Кармалитова	A.I. Karmalitov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	6	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
А.И. Коновой	A.I. Konova	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
А.И. Синелобова	A.I. Sinelobov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	6	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
А.К. Середохина	A.K. Seredokhin	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	automatic transliteration seed; human review recommended before production glossary
А.М. Лариной	A.M. Larina	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							3	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
А.Х. Кантора	A.Kh. Kantor	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok			low	person_multiple_org_contexts_not_approved	romanization_cleanup				3	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
А.Я. Свердлова	A.Ya. Sverdlov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
Б.Г. Козелева	B.G. Kozelev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
Б.И. Кузьмичева	B.I. Kuzmichev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
В.Г. Белова	V.G. Belov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	3	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
В.Д. Каспаровой	V.D. Kasparova	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
В.П. Потемкина	V.P. Potemkin	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	4	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
Г.Е. Горбачева	G.E. Gorbachev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	automatic transliteration seed; human review recommended before production glossary
Г.Ф. Овчинникова	G.F. Ovchinnikov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Д.П. Марецкого	D.P. Maretsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	3	9	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
Е.А. Петровой	E.A. Petrova	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							3	2	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
З.И. Пелевиной	Z.I. Pelevina	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							3	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
И.И. Бурлакова	I.I. Burlakov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	6	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
И.К. Федотова	I.K. Fedotov	people	person_name	low	3	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	3	8	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
И.Н. Маевского	I.N. Maevsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	6	2	ПРОЦЕСС 2-12 МАРТА 1938 г.:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
К.И. Синелобовой	K.I. Sinelobov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved	romanization_cleanup				3	4	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
К.Н. Лукницкого	K.N. Luknitsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	automatic transliteration seed; human review recommended before production glossary
Л.А. Лаврентьева	L.A. Lavrentev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							3	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
Л.Г. Лелевича	L.G. Lelevich	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							3	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3	automatic transliteration seed; human review recommended before production glossary
Л.М. Марьясина	L.M. Maryasin	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
Л.П. Серебрякова	L.P. Serebryakov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	7	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
М.Л. Быховского	M.L. Bykhovsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
М.П. Жакова	M.P. Zhakov	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
Н.И. Москалева	N.I. Moskalev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
Н.М. Лукина-Бухарина	N.M. Lukina-Bukharin	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							3	0	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:3	automatic transliteration seed; human review recommended before production glossary
Н.Н. Крестинского	N.N. Krestinsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	4	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	automatic transliteration seed; human review recommended before production glossary
П.И. Гордеевой	P.I. Gordeeva	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	3	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
П.Ф. Зайцева	P.F. Zaitsev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	КРЕМЛЕВСКОЕ ДЕЛО:3	automatic transliteration seed; human review recommended before production glossary
П.Ф. Сапожникова	P.F. Sapozhnikov	people	person_name	low	3	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	3	9	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
С.Я. Шаева	S.Ya. Shaev	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
Ф.А. Горбуновой	F.A. Gorbunova	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
Х.Г. Гуревича	Kh.G. Gurevich	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	6	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3	automatic transliteration seed; human review recommended before production glossary
Х.Г. Раковского	Kh.G. Rakovsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	multiple_aliases_unresolved	3	5	2	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
Ю.М. Коцюбинского	Yu.M. Kotsyubinsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	7	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
Я.Н. Вечерковского	Ya.N. Vecherkovsky	people	person_name	low	3	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					3	5	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3	automatic transliteration seed; human review recommended before production glossary
А.А. Бусыгина	A.A. Busygin	people	person_name	low	2	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					2	4	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	automatic transliteration seed; human review recommended before production glossary
А.А. Лаврентьева	A.A. Lavrentev	people	person_name	low	2	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization							2	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2	automatic transliteration seed; human review recommended before production glossary
А.А. Муштакова	A.A. Mushtakov	people	person_name	low	2	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					2	3	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2	automatic transliteration seed; human review recommended before production glossary
А.В. Галкина	A.V. Galkin	people	person_name	low	2	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					2	7	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
А.В. Румянцева	A.V. Rumyantsev	people	person_name	low	2	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					2	5	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2	automatic transliteration seed; human review recommended before production glossary
А.Д. Арефьева	A.D. Arefev	people	person_name	low	2	auto_normalized_needs_review	medium	tier4_auto_ok		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved					2	3	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:2	automatic transliteration seed; human review recommended before production glossary
А.Д. Зайцева	A.D. Zaitsev	people	person_name	low	2	auto_normalized_needs_review	medium	tier3_high_org_context		auto_morphological_normalization	low	person_multiple_org_contexts_not_approved			low	case_form_with_high_org_context	2	9	1	ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	automatic transliteration seed; human review recommended before production glossary
