person	role	role_class	document_count	person_total_documents	share_of_person_documents
В.В. Папкова	нарком	office_position	2	2	1.0
В.В. Румянцева	директор	office_position	2	12	0.1667
В.В. Румянцева	правый	political_label	2	12	0.1667
В.В. Шмидта	руководитель	office_position	2	4	0.5
В.Г. Белова	комиссар	office_position	2	3	0.6667
В.Г. Белова	секретарь	office_position	2	3	0.6667
В.Г. Белова	троцкист	political_label	2	3	0.6667
В.Г. Яковенко	начальник	office_position	2	3	0.6667
В.Г. Яковенко	секретарь	office_position	2	3	0.6667
В.Д. Вуйовича	троцкист	political_label	2	2	1.0
В.Д. Каспаровой	полпред	office_position	2	3	0.6667
В.И. Звездова	представитель	generic_representative	2	9	0.2222
В.И. Звездова	троцкист	political_label	2	9	0.2222
В.И. Звездовым	член	generic_membership	2	2	1.0
В.И. Звездовым	обвиняемый	trial_role	2	2	1.0
В.И. Козырева	сотрудник	generic_staff	2	5	0.4
В.И. Невского	комиссар	office_position	2	2	1.0
В.И. Невского	секретарь	office_position	2	2	1.0
В.И. Невского	правый	political_label	2	2	1.0
В.И. Пучкова	член	generic_membership	2	2	1.0
В.И. Пучкова	комиссар	office_position	2	2	1.0
В.И. Пучкова	нарком	office_position	2	2	1.0
В.И. Пучкова	начальник	office_position	2	2	1.0
В.И. Пучкова	секретарь	office_position	2	2	1.0
В.И. Пучкова	троцкист	political_label	2	2	1.0
В.И. Шипихина	член	generic_membership	2	2	1.0
В.И. Шипихина	председатель	office_position	2	2	1.0
В.И. Шипихина	секретарь	office_position	2	2	1.0
В.И. Шипихина	троцкист	political_label	2	2	1.0
В.М. Андреева	член	generic_membership	2	2	1.0
В.М. Андреева	троцкист	political_label	2	2	1.0
В.М. Попова	председатель	office_position	2	7	0.2857
В.М. Примакова	секретарь	office_position	2	2	1.0
В.М. Рохинсона	член	generic_membership	2	2	1.0
В.М. Рохинсона	начальник	office_position	2	2	1.0
В.Н. Ракова	троцкист	political_label	2	2	1.0
В.Н. Ракова	обвиняемый	trial_role	2	2	1.0
В.Н. Яковлевой	член	generic_membership	2	2	1.0
В.Н. Яковлевой	нарком	office_position	2	2	1.0
В.Н. Яковлевой	секретарь	office_position	2	2	1.0
В.Н. Яковлевой	троцкист	political_label	2	2	1.0
В.П. Потемкина	полпред	office_position	2	3	0.6667
В.Ф. Головина	член	generic_membership	2	2	1.0
В.Ф. Головина	директор	office_position	2	2	1.0
В.Ф. Головина	заместитель	office_position	2	2	1.0
В.Ф. Головина	комиссар	office_position	2	2	1.0
В.Ф. Головина	нарком	office_position	2	2	1.0
В.Ф. Головина	начальник	office_position	2	2	1.0
В.Ф. Головина	председатель	office_position	2	2	1.0
В.Ф. Головина	руководитель	office_position	2	2	1.0
В.Ф. Головина	секретарь	office_position	2	2	1.0
В.Ф. Головина	правый	political_label	2	2	1.0
В.Ф. Головина	троцкист	political_label	2	2	1.0
В.Ф. Логинова	директор	office_position	2	7	0.2857
В.Ф. Логинова	заместитель	office_position	2	7	0.2857
В.Ф. Логинова	начальник	office_position	2	7	0.2857
В.Ф. Логинова	председатель	office_position	2	7	0.2857
В.Ф. Логинова	правый	political_label	2	7	0.2857
Г.А. Колоскова	комиссар	office_position	2	2	1.0
Г.А. Колоскова	нарком	office_position	2	2	1.0
Г.А. Колоскова	секретарь	office_position	2	2	1.0
Г.А. Колоскова	троцкист	political_label	2	2	1.0
Г.А. Молчанова	сотрудник	generic_staff	2	8	0.25
Г.А. Молчанова	председатель	office_position	2	8	0.25
Г.А. Молчанова	следователь	office_position	2	8	0.25
Г.Б. Синани-Скалов	правый	political_label	2	12	0.1667
Г.В. Соколовым	член	generic_membership	2	2	1.0
Г.В. Соколовым	обвиняемый	trial_role	2	2	1.0
Г.Е. Горбачева	представитель	generic_representative	2	3	0.6667
Г.Е. Горбачева	правый	political_label	2	3	0.6667
Г.Е. Евдокимова	директор	office_position	2	14	0.1429
Г.Е. Евдокимова	председатель	office_position	2	14	0.1429
Г.Е. Евдокимова	секретарь	office_position	2	14	0.1429
Г.Е. Евдокимовым	нарком	office_position	2	4	0.5
Г.Е. Евдокимовым	троцкист	political_label	2	4	0.5
Г.Е. Прокофьева	адвокат	office_position	2	33	0.0606
Г.Е. Прокофьева	заместитель	office_position	2	33	0.0606
Г.Е. Прокофьева	председатель	office_position	2	33	0.0606
Г.Е. Прокофьева	следователь	office_position	2	33	0.0606
Г.Е. Пушина	директор	office_position	2	2	1.0
Г.Е. Пушина	комиссар	office_position	2	2	1.0
Г.Е. Пушина	начальник	office_position	2	2	1.0
Г.Е. Пушина	секретарь	office_position	2	2	1.0
Г.Е. Пушина	троцкист	political_label	2	2	1.0
Г.И. Сафарова	председатель	office_position	2	32	0.0625
Г.И. Сафарова	редактор	office_position	2	32	0.0625
Г.И. Сафаровым	троцкист	political_label	2	3	0.6667
Г.И. Шварца	член	generic_membership	2	2	1.0
Г.И. Шварца	троцкист	political_label	2	2	1.0
Г.К. Орджоникидзе	нарком	office_position	2	3	0.6667
Г.К. Орджоникидзе	троцкист	political_label	2	3	0.6667
Г.Л. Хасина	комиссар	office_position	2	4	0.5
Г.Л. Хасина	нарком	office_position	2	4	0.5
Г.Л. Хасина	секретарь	office_position	2	4	0.5
Г.Л. Шкловского	член	generic_membership	2	2	1.0
Г.Л. Шкловского	троцкист	political_label	2	2	1.0
Г.М. Аркуса	следователь	office_position	2	6	0.3333
Г.П. Поташникова	член	generic_membership	2	2	1.0
Г.С. Фридлянда	член	generic_membership	2	2	1.0
Г.С. Фридлянда	комиссар	office_position	2	2	1.0
Г.С. Фридлянда	руководитель	office_position	2	2	1.0
Г.С. Фридлянда	троцкист	political_label	2	2	1.0
Г.Ф. Овчинникова	заместитель	office_position	2	3	0.6667
Г.Ф. Овчинникова	начальник	office_position	2	3	0.6667
Г.Ф. Овчинникова	руководитель	office_position	2	3	0.6667
Г.Ф. Попова	руководитель	office_position	2	12	0.1667
Г.Ф. Федорова	представитель	generic_representative	2	8	0.25
Г.Ф. Федорова	правый	political_label	2	8	0.25
Гавен	член	generic_membership	2	2	1.0
Гавен	директор	office_position	2	2	1.0
Гавен	руководитель	office_position	2	2	1.0
Гавен	троцкист	political_label	2	2	1.0
Д.А. Карцева	агент	accusatory_or_intelligence_label	2	2	1.0
Д.А. Карцева	комиссар	office_position	2	2	1.0
Д.А. Карцева	руководитель	office_position	2	2	1.0
Д.А. Карцева	правый	political_label	2	2	1.0
Д.А. Карцева	троцкист	political_label	2	2	1.0
Д.А. Шмидта	правый	political_label	2	6	0.3333
Д.З. Мануильскому	троцкист	political_label	2	2	1.0
Д.И. Антипаса	заместитель	office_position	2	2	1.0
Д.И. Антипаса	нарком	office_position	2	2	1.0
Д.И. Антипаса	начальник	office_position	2	2	1.0
Д.И. Антипаса	руководитель	office_position	2	2	1.0
Д.И. Антипаса	секретарь	office_position	2	2	1.0
Д.И. Матвеева	член	generic_membership	2	2	1.0
Д.И. Матвеева	комиссар	office_position	2	2	1.0
Д.И. Матвеева	секретарь	office_position	2	2	1.0
Д.И. Матвеева	правый	political_label	2	2	1.0
Д.И. Матвеева	троцкист	political_label	2	2	1.0
Д.Н. Ширяева	руководитель	office_position	2	6	0.3333
Д.Н. Ширяева	секретарь	office_position	2	6	0.3333
Д.Н. Ширяева	троцкист	political_label	2	6	0.3333
Д.П. Бухарцева	комиссар	office_position	2	2	1.0
Д.П. Бухарцева	полпред	office_position	2	2	1.0
Д.П. Бухарцева	секретарь	office_position	2	2	1.0
Д.П. Бухарцева	троцкист	political_label	2	2	1.0
Д.П. Марецкого	член	generic_membership	2	3	0.6667
Д.П. Марецкого	руководитель	office_position	2	3	0.6667
Д.С. Азбеля	комиссар	office_position	2	2	1.0
Д.С. Азбеля	секретарь	office_position	2	2	1.0
Д.С. Азбеля	правый	political_label	2	2	1.0
Д.С. Азбеля	троцкист	political_label	2	2	1.0
Д.Т. Шермергорна	член	generic_membership	2	2	1.0
Д.Т. Шермергорна	заместитель	office_position	2	2	1.0
Д.Т. Шермергорна	комиссар	office_position	2	2	1.0
Д.Т. Шермергорна	нарком	office_position	2	2	1.0
Д.Т. Шермергорна	начальник	office_position	2	2	1.0
Д.Т. Шермергорна	секретарь	office_position	2	2	1.0
Д.Т. Шермергорна	троцкист	political_label	2	2	1.0
Д.Т. Шермергорна	обвиняемый	trial_role	2	2	1.0
Дмитриев	заместитель	office_position	2	17	0.1176
Дмитриев	правый	political_label	2	17	0.1176
Е.А. Афанасьева	член	generic_membership	2	2	1.0
Е.А. Афанасьева	комиссар	office_position	2	2	1.0
Е.А. Афанасьева	секретарь	office_position	2	2	1.0
Е.А. Афанасьева	правый	political_label	2	2	1.0
Е.А. Дрейцера	агент	accusatory_or_intelligence_label	2	7	0.2857
Е.А. Дрейцера	правый	political_label	2	7	0.2857
Е.А. Петровой	сотрудник	generic_staff	2	3	0.6667
Е.В. Цетлина	кандидат	generic_membership	2	20	0.1
Е.В. Цетлина	адвокат	office_position	2	20	0.1
Е.В. Цетлина	нарком	office_position	2	20	0.1
Е.В. Цетлина	начальник	office_position	2	20	0.1
Е.Д. Соколовой	член	generic_membership	2	2	1.0
Е.Д. Соколовой	сотрудник	generic_staff	2	2	1.0
Е.Д. Соколовой	председатель	office_position	2	2	1.0
Е.Д. Соколовой	руководитель	office_position	2	2	1.0
Е.Д. Соколовой	секретарь	office_position	2	2	1.0
Е.И. Майзлиной	троцкист	political_label	2	2	1.0
Е.И. Майзлиной	обвиняемый	trial_role	2	2	1.0
Е.К. Коршунова	член	generic_membership	2	3	0.6667
Е.К. Коршунова	троцкист	political_label	2	3	0.6667
Е.К. Мухановой	нарком	office_position	2	13	0.1538
Е.М. Манюрин-Броварский	член	generic_membership	2	2	1.0
Е.М. Манюрин-Броварский	секретарь	office_position	2	2	1.0
Е.М. Манюрин-Броварский	троцкист	political_label	2	2	1.0
Е.М. Рыбальченко	член	generic_membership	2	2	1.0
Е.М. Рыбальченко	начальник	office_position	2	2	1.0
Е.М. Рыбальченко	секретарь	office_position	2	2	1.0
Е.М. Рыбальченко	троцкист	political_label	2	2	1.0
Е.М. Рыбальченко	обвиняемый	trial_role	2	2	1.0
Е.Н. Васильева	комиссар	office_position	2	2	1.0
Е.Н. Васильева	председатель	office_position	2	2	1.0
Е.Н. Васильева	секретарь	office_position	2	2	1.0
Е.О. Симак	член	generic_membership	2	2	1.0
Е.Р. Майера	обвиняемый	trial_role	2	2	1.0
Е.Ф. Куликова	заместитель	office_position	2	6	0.3333
Е.Ф. Куликова	нарком	office_position	2	6	0.3333
З.А. Ашрафяна	заместитель	office_position	2	4	0.5
З.А. Ашрафяна	председатель	office_position	2	4	0.5
З.В. Флоровой	член	generic_membership	2	2	1.0
З.В. Флоровой	нарком	office_position	2	2	1.0
З.В. Флоровой	троцкист	political_label	2	2	1.0
З.И. Давыдовой	сотрудник	generic_staff	2	6	0.3333
З.М. Беленького	член	generic_membership	2	4	0.5
Зиновьев	адвокат	office_position	2	50	0.04
Зиновьев	наркомвнудел	office_position	2	50	0.04
Зиновьев	прокурор	office_position	2	50	0.04
И.А. Князева	начальник	office_position	2	4	0.5
И.А. Князева	секретарь	office_position	2	4	0.5
И.А. Козина	член	generic_membership	2	2	1.0
И.А. Мусульбаса	кандидат	generic_membership	2	7	0.2857
И.А. Мусульбаса	заместитель	office_position	2	7	0.2857
И.А. Мусульбаса	нарком	office_position	2	7	0.2857
И.А. Мусульбаса	обвиняемый	trial_role	2	7	0.2857
И.Г. Юскина	член	generic_membership	2	8	0.25
И.Д. Гаврикова	член	generic_membership	2	2	1.0
И.Д. Гаврикова	троцкист	political_label	2	2	1.0
И.Д. Турока	комиссар	office_position	2	3	0.6667
И.Д. Турока	нарком	office_position	2	3	0.6667
И.Д. Турока	секретарь	office_position	2	3	0.6667
И.Е. Коваленко	нарком	office_position	2	2	1.0
И.Е. Коваленко	начальник	office_position	2	2	1.0
И.Е. Коваленко	секретарь	office_position	2	2	1.0
И.Е. Коваленко	обвиняемый	trial_role	2	2	1.0
И.Е. Павлова	член	generic_membership	2	2	1.0
И.Е. Павлова	начальник	office_position	2	2	1.0
И.И. Бурлакова	агент	accusatory_or_intelligence_label	2	3	0.6667
И.И. Бурлакова	нарком	office_position	2	3	0.6667
И.И. Горовича	комиссар	office_position	2	4	0.5
И.И. Горовича	нарком	office_position	2	4	0.5
И.И. Горовича	секретарь	office_position	2	4	0.5
И.И. Котолыновым	троцкист	political_label	2	3	0.6667
И.И. Рейнгольда	сотрудник	generic_staff	2	11	0.1818
И.И. Рейнгольда	директор	office_position	2	11	0.1818
И.И. Рейнгольда	свидетель	trial_role	2	11	0.1818
И.И. Тарасова	руководитель	office_position	2	8	0.25
И.И. Тарасовым	обвиняемый	trial_role	2	2	1.0
И.И. Трусова	секретарь	office_position	2	4	0.5
И.И. Трусова	правый	political_label	2	4	0.5
И.К. Наумова	член	generic_membership	2	6	0.3333
И.К. Наумова	директор	office_position	2	6	0.3333
И.К. Федотова	руководитель	office_position	2	3	0.6667
И.М. Бык-Бек	член	generic_membership	2	2	1.0
И.М. Бык-Бек	председатель	office_position	2	2	1.0
И.М. Бык-Бек	троцкист	political_label	2	2	1.0
И.М. Гуревича	комиссар	office_position	2	6	0.3333
И.М. Гуревича	начальник	office_position	2	6	0.3333
И.Н. Маевского	обвиняемый	trial_role	2	3	0.6667
И.Н. Стукова	член	generic_membership	2	2	1.0
И.Н. Стукова	троцкист	political_label	2	2	1.0
И.О. Гольденберга	троцкист	political_label	2	2	1.0
И.П. Бакаевым	член	generic_membership	2	3	0.6667
И.П. Бакаевым	троцкист	political_label	2	3	0.6667
И.П. Крыженко	член	generic_membership	2	2	1.0
И.П. Крыженко	обвиняемый	trial_role	2	2	1.0
И.С. Горшенина	сотрудник	generic_staff	2	12	0.1667
И.С. Горшенина	нарком	office_position	2	12	0.1667
И.С. Горшенина	начальник	office_position	2	12	0.1667
И.С. Горшенина	прокурор	office_position	2	12	0.1667
И.С. Горшенина	правый	political_label	2	12	0.1667
И.С. Михайлова	член	generic_membership	2	2	1.0
И.С. Михайлова	нарком	office_position	2	2	1.0
И.С. Михайлова	руководитель	office_position	2	2	1.0
И.С. Михайлова	троцкист	political_label	2	2	1.0
И.С. Эстермана	член	generic_membership	2	2	1.0
И.С. Эстермана	директор	office_position	2	2	1.0
И.С. Эстермана	руководитель	office_position	2	2	1.0
И.С. Эстермана	троцкист	political_label	2	2	1.0
И.Т. Ляшенко	член	generic_membership	2	2	1.0
И.Т. Ляшенко	начальник	office_position	2	2	1.0
И.Т. Ляшенко	троцкист	political_label	2	2	1.0
И.Т. Ляшенко	обвиняемый	trial_role	2	2	1.0
И.Т. Смилги	директор	office_position	2	4	0.5
И.Т. Смилги	комиссар	office_position	2	4	0.5
И.Т. Смилги	секретарь	office_position	2	4	0.5
И.Т. Смилги	правый	political_label	2	4	0.5
К.А. Озола	член	generic_membership	2	2	1.0
К.А. Озола	директор	office_position	2	2	1.0
К.А. Озола	троцкист	political_label	2	2	1.0
К.Б. Берман-Юрин	кандидат	generic_membership	2	2	1.0
К.Б. Берман-Юрин	член	generic_membership	2	2	1.0
К.Б. Берман-Юрин	комиссар	office_position	2	2	1.0
К.Б. Берман-Юрин	редактор	office_position	2	2	1.0
К.Б. Берман-Юрин	секретарь	office_position	2	2	1.0
К.Б. Берман-Юрин	троцкист	political_label	2	2	1.0
К.Е. Ворошилова	член	generic_membership	2	4	0.5
К.Е. Ворошилова	нарком	office_position	2	4	0.5
К.Е. Ворошилова	правый	political_label	2	4	0.5
К.И. Гидлевского	член	generic_membership	2	2	1.0
К.И. Гидлевского	троцкист	political_label	2	2	1.0
К.И. Грюнштейна	член	generic_membership	2	2	1.0
К.И. Грюнштейна	троцкист	political_label	2	2	1.0
К.И. Синелобовой	член	generic_membership	2	3	0.6667
К.И. Синелобовой	сотрудник	generic_staff	2	3	0.6667
К.И. Синелобовой	руководитель	office_position	2	3	0.6667
К.К. Муханова	член	generic_membership	2	9	0.2222
К.К. Муханова	комиссар	office_position	2	9	0.2222
К.К. Муханова	председатель	office_position	2	9	0.2222
К.К. Муханова	секретарь	office_position	2	9	0.2222
К.Н. Емельянова	член	generic_membership	2	2	1.0
К.Н. Емельянова	троцкист	political_label	2	2	1.0
К.Н. Лукницкого	член	generic_membership	2	3	0.6667
К.Н. Лукницкого	начальник	office_position	2	3	0.6667
К.Н. Лукницкого	правый	political_label	2	3	0.6667
К.С. Дорофеева	член	generic_membership	2	2	1.0
К.С. Дорофеева	сотрудник	generic_staff	2	2	1.0
К.С. Дорофеева	директор	office_position	2	2	1.0
К.С. Дорофеева	комиссар	office_position	2	2	1.0
К.С. Дорофеева	руководитель	office_position	2	2	1.0
К.С. Дорофеева	секретарь	office_position	2	2	1.0
К.С. Дорофеева	троцкист	political_label	2	2	1.0
К.С. Модебадзе	сотрудник	generic_staff	2	2	1.0
К.С. Модебадзе	секретарь	office_position	2	2	1.0
К.С. Модебадзе	троцкист	political_label	2	2	1.0
Каменев	сотрудник	generic_staff	2	26	0.0769
Киров	троцкист	political_label	2	9	0.2222
Л.А. Лаврентьева	член	generic_membership	2	3	0.6667
Л.В. Когану	следователь	office_position	2	2	1.0
Л.В. Николаева	комиссар	office_position	2	43	0.0465
Л.В. Николаева	начальник	office_position	2	43	0.0465
Л.В. Николаевым	член	generic_membership	2	4	0.5
Л.Г. Лелевича	член	generic_membership	2	3	0.6667
Л.Г. Лелевича	представитель	generic_representative	2	3	0.6667
Л.Д. Гогоберидзе	член	generic_membership	2	2	1.0
Л.Д. Гогоберидзе	представитель	generic_representative	2	2	1.0
Л.Д. Гогоберидзе	директор	office_position	2	2	1.0
Л.Д. Гогоберидзе	комиссар	office_position	2	2	1.0
Л.Д. Гогоберидзе	нарком	office_position	2	2	1.0
Л.Д. Гогоберидзе	секретарь	office_position	2	2	1.0
Л.Д. Гогоберидзе	троцкист	political_label	2	2	1.0
Л.Д. Троцкий	агент	accusatory_or_intelligence_label	2	28	0.0714
Л.Д. Троцкий	представитель	generic_representative	2	28	0.0714
Л.Д. Троцкий	адвокат	office_position	2	28	0.0714
Л.Д. Троцкий	редактор	office_position	2	28	0.0714
Л.Е. Бурковой	член	generic_membership	2	2	1.0
Л.Е. Бурковой	посол	office_position	2	2	1.0
Л.Е. Бурковой	председатель	office_position	2	2	1.0
Л.Е. Бурковой	троцкист	political_label	2	2	1.0
Л.Е. Тамма	комиссар	office_position	2	2	1.0
Л.Е. Тамма	начальник	office_position	2	2	1.0
Л.Е. Тамма	секретарь	office_position	2	2	1.0
Л.Е. Хосроева	член	generic_membership	2	2	1.0
Л.Е. Хосроева	секретарь	office_position	2	2	1.0
Л.З. Мехлиса	агент	accusatory_or_intelligence_label	2	6	0.3333
Л.З. Мехлиса	кандидат	generic_membership	2	6	0.3333
Л.З. Мехлиса	представитель	generic_representative	2	6	0.3333
Л.З. Мехлиса	директор	office_position	2	6	0.3333
Л.З. Мехлиса	комиссар	office_position	2	6	0.3333
Л.З. Мехлиса	корреспондент	office_position	2	6	0.3333
Л.З. Мехлиса	нарком	office_position	2	6	0.3333
Л.И. Гасвиани	член	generic_membership	2	3	0.6667
Л.И. Гасвиани	директор	office_position	2	3	0.6667
Л.И. Гасвиани	секретарь	office_position	2	3	0.6667
Л.И. Пономарева	член	generic_membership	2	2	1.0
Л.И. Пономарева	директор	office_position	2	2	1.0
Л.И. Пономарева	руководитель	office_position	2	2	1.0
Л.И. Пономарева	троцкист	political_label	2	2	1.0
Л.И. Сосицким	член	generic_membership	2	2	1.0
Л.И. Сосицким	троцкист	political_label	2	2	1.0
Л.И. Сосицким	обвиняемый	trial_role	2	2	1.0
Л.И. Сосицкого	руководитель	office_position	2	4	0.5
Л.М. Каганович	сотрудник	generic_staff	2	11	0.1818
Л.М. Каганович	директор	office_position	2	11	0.1818
Л.М. Каганович	заместитель	office_position	2	11	0.1818
Л.М. Каганович	начальник	office_position	2	11	0.1818
Л.М. Каганович	редактор	office_position	2	11	0.1818
Л.М. Каганович	руководитель	office_position	2	11	0.1818
Л.М. Марьясина	заместитель	office_position	2	3	0.6667
Л.М. Марьясина	председатель	office_position	2	3	0.6667
Л.Н. Минервиной	член	generic_membership	2	2	1.0
Л.Н. Минервиной	сотрудник	generic_staff	2	2	1.0
Л.Н. Минервиной	секретарь	office_position	2	2	1.0
Л.О. Ханика	член	generic_membership	2	3	0.6667
Л.О. Ханика	руководитель	office_position	2	3	0.6667
Л.П. Берии	директор	office_position	2	2	1.0
Л.П. Берии	секретарь	office_position	2	2	1.0
Л.П. Берии	троцкист	political_label	2	2	1.0
Л.П. Серебрякова	представитель	generic_representative	2	3	0.6667
Л.П. Серебрякова	нарком	office_position	2	3	0.6667
Л.П. Серебрякова	начальник	office_position	2	3	0.6667
Л.П. Серебрякова	руководитель	office_position	2	3	0.6667
Л.П. Серебряковым	правый	political_label	2	3	0.6667
Л.С. Ассиновского	сотрудник	generic_staff	2	2	1.0
Л.С. Ассиновского	начальник	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	член	generic_membership	2	2	1.0
Л.С. Мамишвили-Мишкевич	директор	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	заместитель	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	комиссар	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	нарком	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	начальник	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	секретарь	office_position	2	2	1.0
Л.С. Мамишвили-Мишкевич	троцкист	political_label	2	2	1.0
Л.С. Мамишвили-Мишкевич	обвиняемый	trial_role	2	2	1.0
Л.С. Сосновского	кандидат	generic_membership	2	5	0.4
Л.С. Сосновского	сотрудник	generic_staff	2	5	0.4
Л.С. Сосновского	директор	office_position	2	5	0.4
Л.С. Сосновского	редактор	office_position	2	5	0.4
Л.С. Сосновского	руководитель	office_position	2	5	0.4
Л.С. Тер-Минасов	комиссар	office_position	2	2	1.0
Л.С. Тер-Минасов	начальник	office_position	2	2	1.0
Л.С. Тер-Минасов	секретарь	office_position	2	2	1.0
Л.С. Тер-Минасов	троцкист	political_label	2	2	1.0
Л.Ф. Дитятевой	начальник	office_position	2	5	0.4
Л.Ф. Дитятевой	председатель	office_position	2	5	0.4
Л.Ф. Дитятевой	руководитель	office_position	2	5	0.4
Л.Х. Розенблюма	троцкист	political_label	2	2	1.0
М.А. Жарикова	член	generic_membership	2	2	1.0
М.А. Жарикова	заместитель	office_position	2	2	1.0
М.А. Жарикова	комиссар	office_position	2	2	1.0
М.А. Жарикова	нарком	office_position	2	2	1.0
М.А. Жарикова	начальник	office_position	2	2	1.0
М.А. Жарикова	секретарь	office_position	2	2	1.0
М.А. Жарикова	троцкист	political_label	2	2	1.0
М.А. Нырчука	представитель	generic_representative	2	9	0.2222
М.А. Нырчука	секретарь	office_position	2	9	0.2222
М.В. Бурштейном	заместитель	office_position	2	3	0.6667
М.В. Бурштейном	нарком	office_position	2	3	0.6667
М.В. Бурштейном	начальник	office_position	2	3	0.6667
М.В. Бурштейном	троцкист	political_label	2	3	0.6667
М.В. Королькова	посол	office_position	2	7	0.2857
М.В. Королькова	троцкист	political_label	2	7	0.2857
М.В. Михайлика	член	generic_membership	2	2	1.0
М.В. Михайлика	заместитель	office_position	2	2	1.0
М.В. Михайлика	нарком	office_position	2	2	1.0
М.В. Михайлика	начальник	office_position	2	2	1.0
М.В. Михайлика	председатель	office_position	2	2	1.0
М.В. Михайлика	прокурор	office_position	2	2	1.0
М.В. Михайлика	секретарь	office_position	2	2	1.0
М.В. Михайлика	троцкист	political_label	2	2	1.0
М.В. Муравьева	член	generic_membership	2	2	1.0
М.В. Муравьева	троцкист	political_label	2	2	1.0
М.В. Поздеевой	член	generic_membership	2	5	0.4
М.В. Поздеевой	председатель	office_position	2	5	0.4
М.Г. Сафьянова	член	generic_membership	2	2	1.0
М.Г. Сафьянова	секретарь	office_position	2	2	1.0
М.Г. Сафьянова	троцкист	political_label	2	2	1.0
М.И. Лурье	представитель	generic_representative	2	3	0.6667
М.И. Лурье	комиссар	office_position	2	3	0.6667
М.И. Лурье	нарком	office_position	2	3	0.6667
М.И. Лурье	руководитель	office_position	2	3	0.6667
М.И. Лурье	секретарь	office_position	2	3	0.6667
М.И. Лурье	правый	political_label	2	3	0.6667
М.И. Новожилова	член	generic_membership	2	2	1.0
М.И. Новожилова	нарком	office_position	2	2	1.0
М.И. Новожилова	троцкист	political_label	2	2	1.0
М.И. Сумецкого	член	generic_membership	2	2	1.0
М.И. Сумецкого	правый	political_label	2	2	1.0
М.И. Сумецкого	троцкист	political_label	2	2	1.0
М.И. Сумецкого	обвиняемый	trial_role	2	2	1.0
М.К. Чернявского	сотрудник	generic_staff	2	11	0.1818
М.К. Чернявского	руководитель	office_position	2	11	0.1818
М.Л. Быховского	руководитель	office_position	2	3	0.6667
М.М. Киллерога	сотрудник	generic_staff	2	6	0.3333
М.М. Киллерога	заместитель	office_position	2	6	0.3333
М.М. Киллерога	редактор	office_position	2	6	0.3333
М.М. Киллерога	правый	political_label	2	6	0.3333
М.М. Киллерога	обвиняемый	trial_role	2	6	0.3333
М.М. Кудряшева	член	generic_membership	2	2	1.0
М.М. Кудряшева	директор	office_position	2	2	1.0
М.М. Кудряшева	троцкист	political_label	2	2	1.0
М.М. Харитонова	комиссар	office_position	2	11	0.1818
М.М. Харитонова	председатель	office_position	2	11	0.1818
М.М. Чередниченко	член	generic_membership	2	2	1.0
М.М. Чередниченко	директор	office_position	2	2	1.0
М.М. Чередниченко	нарком	office_position	2	2	1.0
М.М. Чередниченко	начальник	office_position	2	2	1.0
М.М. Чередниченко	руководитель	office_position	2	2	1.0
М.М. Чередниченко	секретарь	office_position	2	2	1.0
М.М. Чередниченко	троцкист	political_label	2	2	1.0
М.Н. Рябинина	член	generic_membership	2	2	1.0
М.Н. Рябинина	троцкист	political_label	2	2	1.0
М.Н. Яковлева	комиссар	office_position	2	9	0.2222
М.Н. Яковлева	обвиняемый	trial_role	2	9	0.2222
М.О. Зюка	кандидат	generic_membership	2	3	0.6667
М.О. Зюка	начальник	office_position	2	3	0.6667
М.О. Зюка	секретарь	office_position	2	3	0.6667
М.П. Жакова	комиссар	office_position	2	3	0.6667
М.П. Жакова	редактор	office_position	2	3	0.6667
М.П. Жакова	секретарь	office_position	2	3	0.6667
М.П. Жакова	троцкист	political_label	2	3	0.6667
М.П. Томского	нарком	office_position	2	4	0.5
М.П. Томского	редактор	office_position	2	4	0.5
М.П. Томского	троцкист	political_label	2	4	0.5
М.С. Богуславского	комиссар	office_position	2	4	0.5
М.С. Рэма	троцкист	political_label	2	5	0.4
М.С. Строилова	представитель	generic_representative	2	4	0.5
М.С. Строилова	комиссар	office_position	2	4	0.5
М.С. Строилова	руководитель	office_position	2	4	0.5
М.Т. Антонова	член	generic_membership	2	2	1.0
М.Т. Антонова	сотрудник	generic_staff	2	2	1.0
М.Т. Антонова	нарком	office_position	2	2	1.0
М.Т. Антонова	начальник	office_position	2	2	1.0
М.Т. Антонова	редактор	office_position	2	2	1.0
М.Т. Антонова	руководитель	office_position	2	2	1.0
М.Т. Антонова	троцкист	political_label	2	2	1.0
М.Ф. Постоловского	директор	office_position	2	2	1.0
М.Ф. Постоловского	комиссар	office_position	2	2	1.0
М.Ф. Постоловского	секретарь	office_position	2	2	1.0
М.Ф. Постоловского	троцкист	political_label	2	2	1.0
М.Ф. Шкирятову	нарком	office_position	2	8	0.25
М.Ф. Шкирятову	посол	office_position	2	8	0.25
М.Ф. Шкирятову	правый	political_label	2	8	0.25
М.Ф. Шкирятову	троцкист	political_label	2	8	0.25
Молотов	кандидат	generic_membership	2	6	0.3333
Молотов	заместитель	office_position	2	6	0.3333
